images,mtype,name,package_volume,price,sku,subtype,type,volume,weight
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/076855000083.jpeg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/076855000083.jpeg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/0/00076855000083.jpg']",household/toys-games/outdoor-fun/pools,Apex Swimmers Nose Clip,2.75 inchesx1.29 inchesx6.25 inches,3.49,0233623,pools,household,1 inchesx0.5 inchesx17 inches,0.1 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/0/00754502029884.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/0/00754502029884.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/0/00754502029884_1.jpg']",household/toys-games/outdoor-fun/more-outdoor-fun,As Seen on TV Rocket Copters - Slingshot LED Helicopter Toy for Kids,3.25 inchesx7.25 inchesx9.75 inches,9.99,0378015,more-outdoor-fun,household,7.2 inchesx3.28 inchesx9.72 inches,4.48 oz
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/076666082216.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/8/0/8003558-1.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/076666082216.jpg']",household/toys-games/outdoor-fun/chalk-bubbles,Miracle Bubbles Miracle Bubbles 8 fl oz (236.57 ml),NonexNonexNone,1.49,8003558,chalk-bubbles,household,2.1 inchesx5.1 inchesx2.15 inches,8 fluid oz
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/076666084784.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/8/0/8003607-1.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/076666084784.jpg']",household/toys-games/outdoor-fun/chalk-bubbles,"Miracle Bubbles Bubble Fun, 6 in 1 4 fl oz (118.28 ml)",NonexNonexNone,3.49,8003607,chalk-bubbles,household,6.45 inchesx8.9 inchesx1.85 inches,4 fluid oz
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/076666081653.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/8/0/8003559-1.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/076666081653.jpg']",household/toys-games/outdoor-fun/chalk-bubbles,Miracle Bubbles Bubbles 16 fl oz (473.15 ml),NonexNonexNone,2.69,8003559,chalk-bubbles,household,2.75 inchesx7.2 inchesx2.75 inches,16 fluid oz
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/027084927085.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/7/4/746775043155.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/027084927085.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/027084927085_1.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/027084927085_2.jpg']",household/toys-games/dolls,"Barbie Doll, A Mermaid Tale",NonexNonexNone,11.49,0335074,dolls,household,4 inchesx4 inchesx4 inches,0.375 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/027084859393.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/027084859393.jpg']",household/toys-games/building-blocks-set,"Thomas & Friends, Assorted",NonexNonexNone,,0329748,building-blocks-set,household,5.35 inchesx6.55 inchesx2 inches,0.3167 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/4/047754260038.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/4/047754260038.jpg']",household/toys-games/board-games-cards,"Cardinal Dominoes, Disney Pixar Cars 2",NonexNonexNone,,0360160,board-games-cards,household,4.7 x1.9 x7.6 ,1.35 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/4/047754202007.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/4/047754202007.jpg']",household/toys-games/board-games-cards,Jumbling Tower Game,NonexNonexNone,9.99,0370888,board-games-cards,household,3.31 inchesx3.31 inchesx10.63 inches,1.69 lbs
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/7/7/778988692660.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/7/7/778988692660.jpg']",household/toys-games/board-games-cards,Eye Know Trivia Card Game,NonexNonexNone,9.99,0379302,board-games-cards,household,3.74 inchesx2.76 inchesx8 inches,1 lbs
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/4/047754931761.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/4/047754931761.jpg']",household/toys-games/board-games-cards,"Copy That Face Card Game, Jumbo",NonexNonexNone,7.99,0371193,board-games-cards,household,3.58 inchesx0.79 inchesx6.14 inches,1 count
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/7/7/778988692714.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/7/7/778988692714.jpg']",household/toys-games/board-games-cards,Urban Myth Game,NonexNonexNone,9.99,0379303,board-games-cards,household,3.8 inchesx2.75 inchesx8 inches,1.77 lbs
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/7/7/778988693285.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/7/7/778988693285.jpg']",household/toys-games/board-games-cards,The Awesome Game of Meme,NonexNonexNone,9.99,0379304,board-games-cards,household,3.94 inchesx2.9 inchesx8 inches,1.52 lbs
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/4/047754134209.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/4/047754134209.jpg']",household/toys-games/board-games-cards,"Poker Chip Set, 11.5g - 100 ct",NonexNonexNone,,8015367,board-games-cards,household,3.4 inchesx8.5 inchesx2 inches,2.55 lbs
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/7/7/778988716052.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/7/7/778988716052.jpg']",household/toys-games/board-games-cards,Classic Series Password Word Association Game,NonexNonexNone,9.99,0379305,board-games-cards,household,3.8 inchesx2.75 inchesx8 inches,0.8 lbs
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854021736.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854021736.jpg']",household/toys-games/board-games-cards,Hoyle Plastic Playing Cards,NonexNonexNone,4.99,8018634,board-games-cards,household,2.56 inchesx0.81 inchesx3.63 inches,1 count
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854024232.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854024232.jpg']",household/toys-games/board-games-cards,Bicycle Licensed Cards,NonexNonexNone,4.49,8021775,board-games-cards,household,2.56 inchesx0.69 inchesx3.63 inches,1 count
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854001066.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854001066.jpg']",household/toys-games/board-games-cards,Bicycle Dice - 5 ct,NonexNonexNone,3.49,8018252,board-games-cards,household,2.56 inchesx0.63 inchesx3.5 inches,5 count
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854023181.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854023181.jpg']",household/toys-games/board-games-cards,Bicycle Stargazer Playing Cards,NonexNonexNone,4.99,0379367,board-games-cards,household,2.56 inchesx0.69 inchesx3.63 inches,1 count
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854024300.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854024300.jpg']",household/toys-games/board-games-cards,Bicycle Specialty Playing Cards,NonexNonexNone,4.49,8021774,board-games-cards,household,2.56 inchesx0.69 inchesx3.63 inches,1 count
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854001257.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854001257.jpg']",household/toys-games/board-games-cards,Bicycle EZ See Playing Cards,NonexNonexNone,4.49,8018253,board-games-cards,household,2.56 inchesx0.69 inchesx3.63 inches,1 count
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854021781.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854021781.jpg']",household/toys-games/board-games-cards,Astra RA Poker Playing Cards,NonexNonexNone,2.99,8018767,board-games-cards,household,2.56 inchesx0.69 inchesx3.63 inches,1 count
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854021798.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854021798.jpg']",household/toys-games/board-games-cards,Astra RA Jumbo Playing Cards,NonexNonexNone,2.99,8018768,board-games-cards,household,2.56 inchesx0.69 inchesx3.63 inches,1 count
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/6/3/632468005251.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/6/3/632468005251.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/6/3/632468005251_2.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/6/3/632468005251_3.jpg']",household/toys-games/board-games-cards,Endless Games The Floor is Lava Game - 1 ct,NonexNonexNone,19.99,0378341,board-games-cards,household,10.5 inchesx2.38 inchesx10.5 inches,1.19 lbs
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/6/3/632468008788.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/6/3/632468008788.jpg']",household/toys-games/board-games-cards,Endless Games Name 5 Card Game - 1 ct,NonexNonexNone,6.99,0378331,board-games-cards,household,3.75 inchesx0.81 inchesx6 inches,0.4 lbs
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/6/3/632468008801.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/6/3/632468008801.jpg']",household/toys-games/board-games-cards,Endless Games Jeopardy Card Game - 1 ct,NonexNonexNone,6.99,0378332,board-games-cards,household,3.43 inchesx0.75 inchesx6 inches,0.4 lbs
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/021853036312.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/021853036312.jpg']",household/toys-games/board-games-cards,Quizmaster Totally Trivia Game,NonexNonexNone,9.99,0379347,board-games-cards,household,4.75 inchesx3.25 inchesx4.75 inches,1 count
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/0218530040070.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/0218530040070.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/0218530040070_2.jpg']",household/toys-games/board-games-cards,Rummikub Board Game,NonexNonexNone,15.99,0327704,board-games-cards,household,10.5 inchesx2.25 inchesx10.5 inches,1 count
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/021853011135.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/021853011135.jpg']",household/toys-games/board-games-cards,"3-in-1 Chess, Checker & Backgammon Game Set",NonexNonexNone,7.99,0370307,board-games-cards,household,15.625 inchesx1.5 inchesx8 inches,0.86 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/4/047754468007.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/8/0/8015371-1.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/4/047754468007.jpg']",household/toys-games/board-games-cards,Cardinal Jumbo Sized Card Games - 4 pk,NonexNonexNone,,8015371,board-games-cards,household,5 inchesx7.72 inchesx1.78 inches,0.9375 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854608081.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854600887.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854608081.jpg']",household/toys-games/board-games-cards,"Bicycle Playing Card Decks, Jumbo Face, Standard Size - 2 pk",NonexNonexNone,,0985550,board-games-cards,household,5.3 inchesx3.7 inchesx0.7 inches,0.4347 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854608081.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854608081.jpg']",household/toys-games/board-games-cards,"Bicycle Playing Cards, Standard - 2 pk",NonexNonexNone,,0333914,board-games-cards,household,5.25 inchesx3.8 inchesx0.8 inches,0.5139 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854338087.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/4/0467812-1.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854338087.jpg']",household/toys-games/board-games-cards,"Bicycle Playing Card Decks, 2 Original/2 Black - 4 pk",NonexNonexNone,,0467812,board-games-cards,household,5.31 inchesx4.97 inchesx1.45 inches,0.9083 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854000885.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854000885.jpg']",household/toys-games/board-games-cards,"Bicycle Playing Cards, Jumbo",NonexNonexNone,,0037902,board-games-cards,household,2.7 inchesx4.15 inchesx0.7 inches,0.2128 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854000489.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854000489.jpg']",household/toys-games/board-games-cards,"Bicycle Playing Cards, Pinochle - 48 Card",NonexNonexNone,,0037901,board-games-cards,household,2.7 inchesx4.15 inchesx0.7 inches,0.2118 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854008089.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854008089.jpg']",household/toys-games/board-games-cards,"Bicycle Playing Cards, Standard Size",NonexNonexNone,,0037900,board-games-cards,household,2.7 inchesx4.15 inchesx0.7 inches,0.2226 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/0/0037899bee_playcardst71746.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/0/0037899bee_playcardst71746.jpg']",household/toys-games/board-games-cards,"Bee Playing Cards, Club Special, Standard Size",NonexNonexNone,,0037899,board-games-cards,household,2.65 inchesx3.75 inchesx0.7 inches,0.2267 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/4/047754180015.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/4/047754180015.jpg']",household/toys-games/board-games-cards,Cardinal Solid Wood Mancala,NonexNonexNone,9.99,8015368,board-games-cards,household,9.03 inchesx5.78 inchesx1.8 inches,1 count
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/026511050501.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/026511050501.jpg']",household/toys-games/board-games-cards,"Ohio Art Magic Screen, Original 1 toy",NonexNonexNone,14.99,4723263,board-games-cards,household,9.3 x1.2 x9.04 ,1.7917 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/026511051607.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/026511051607.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/026511051607_1.jpg']",household/toys-games/board-games-cards,"Ohio Art Pocket Etch-a-Sketch,  Assorted",NonexNonexNone,7.99,0515602,board-games-cards,household,5.4 inchesx5.4 inchesx1.55 inches,0.5 oz
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/3/032244040009.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/3/032244040009.jpg']",household/toys-games/board-games-cards,Life Game,NonexNonexNone,24.99,4721166,board-games-cards,household,15.8 x2 x10.6 ,2.8125 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/0/00047754490008_1.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/0/00047754490008_1.jpg']",household/toys-games/board-games-cards,Bunco Card Game (Single Pack),NonexNonexNone,5.99,0920091,board-games-cards,household,4.57 x2.3 x7.55 ,0.575 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/021853022643.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/021853022643.jpg']",household/toys-games/board-games-cards,"Pressman Game, Don't You Forget It 1 game",NonexNonexNone,5.99,8013611,board-games-cards,household,4.4 inchesx7.75 inchesx1.8 inches,0.3333 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/071547001003.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/071547001003.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/071547001003_1.jpg']",household/toys-games/board-games-cards,"Slinky Walking Spring Toy, Original",NonexNonexNone,5.99,0301113,board-games-cards,household,3.05 inchesx3.16 inchesx2.5 inches,0.5458 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/071662059064.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/071662059064.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/071662059064_2.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/071662059064_3.jpg']",household/toys-games/arts-crafts,"Crayola Dry Erase Markers, Fine Line, Assorted Colors - 6 ct",NonexNonexNone,5.99,0354984,arts-crafts,household,6.813 inchesx7.375 inchesx1.344 inches,0.17 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/6/7/672125101759.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/6/7/672125101759.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/6/7/672125101759_2.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/6/7/672125101759_3.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/6/7/672125101759_4.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/6/7/672125101759_5.jpg']",household/toys-games/arts-crafts,"ArtSkills Sticky Foam Mosaics, Assorted",NonexNonexNone,2.99,0375680,arts-crafts,household,5 inchesx0.25 inchesx8.75 inches,0.071 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/071662203139.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/071662203139.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/071662203139_2.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/071662203139_3.jpg']",household/toys-games/arts-crafts,Crayola Original Silly Putty,NonexNonexNone,2.99,8023658,arts-crafts,household,4.375 inchesx1.438 inchesx7 inches,0.55 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/075656007710.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/075656007710.jpg']",household/toys-games/arts-crafts,"B'Loonies Plastic Balloon Solutions, Assorted Colors - 4 pk",NonexNonexNone,3.49,0361094,arts-crafts,household,5 inchesx0.5 inchesx7 inches,0.07 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/075656013285.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/075656013285.jpg']",household/toys-games/arts-crafts,"Glow in the Dark Styro Putty, Assorted Colors",NonexNonexNone,,0378380,arts-crafts,household,5 inchesx1.77 inchesx9 inches,0.08 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/075656003064.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/075656003064.jpg']",household/toys-games/arts-crafts,Magic Grow Fish Aquarium Kit,NonexNonexNone,2.99,0363957,arts-crafts,household,5 inchesx1.63 inchesx7 inches,0.12 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/075656017276.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/075656017276.jpg']",household/toys-games/arts-crafts,"Dino World Grabber, Assorted Styles",NonexNonexNone,,0363961,arts-crafts,household,4.5 inchesx1.88 inchesx9 inches,0.14 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/075656095748.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/075656095748.jpg']",household/toys-games/arts-crafts,Magic Fluorescent UV Reactive Lab Putty LED Scribbler,NonexNonexNone,4.99,0379319,arts-crafts,household,5 inchesx0.83 inchesx7 inches,0.17 lb
