images,mtype,name,package_volume,price,sku,subtype,type,volume,weight
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/3/034000005291.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/3/034000005291.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/3/034000005291_2.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/3/034000005291_3.jpg']",household/food-snacks-candy/gum,"Ice Breakers Ice Cubes, Sugar Free Wintergreen Gum, 40 Pieces - 3.24 oz",NonexNonexNone,4.59,0375844,gum,household,2.5 inchesx2.5 inchesx3.25 inches,40 count
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/3/034000000296.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/3/034000000296.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/3/034000000296_2.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/3/034000000296_3.jpg']",household/food-snacks-candy/gum,Bubble Yum Jolly Rancher Blue Raspberry Gum - 10 pieces,NonexNonexNone,1.29,0381617,gum,household,3.97 inchesx0.55 inchesx2.02 inches,10 count
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011365_1.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011365_1.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011365_2_1.jpg']",household/food-snacks-candy/gum,"Trident Spearmint Sugar Free Gum, 14 Stick Pack - 3 pk",NonexNonexNone,3.39,0376190,gum,household,3.9 inchesx0.45 inchesx9.75 inches,2.857191 oz
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546312417.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546312417.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546312417_2.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546312417_3.jpg']",household/food-snacks-candy/gum,"Dentyne Ice Arctic Chill Sugar Free Gum, 1 Pk - 16 Pc",NonexNonexNone,1.29,0364636,gum,household,3.31 inchesx0.57 inchesx1.92 inches,0.811301 oz
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011136.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011136.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011136_2.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011136_3.jpg']",household/food-snacks-candy/gum,"Trident Watermelon Twist Sugar Free Gum, 1 Pk - 14 Pc",NonexNonexNone,1.29,0376178,gum,household,3.38 inchesx0.38 inchesx2.13 inches,0.952397 oz
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011112.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011112.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011112_2.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011112_3.jpg']",household/food-snacks-candy/gum,"Trident Tropical Twist Sugar Free Gum, 1 Pk - 14 Pc",NonexNonexNone,1.29,0376177,gum,household,3.38 inchesx0.38 inchesx2.13 inches,0.952397 oz
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011075.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011075.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011075_2.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011075_3.jpg']",household/food-snacks-candy/gum,"Trident Spearmint Sugar Free Gum, 1 Pk - 14 Pc",NonexNonexNone,1.29,0376175,gum,household,3.38 inchesx0.38 inchesx2.13 inches,0.9524 oz
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011099.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011099.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011099_2.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011099_3.jpg']",household/food-snacks-candy/gum,"Trident Original Sugar Free Gum, 1 Pk - 14 Pc",NonexNonexNone,1.29,0376165,gum,household,3.38 inchesx0.38 inchesx2.13 inches,0.952397 oz
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011563.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011563.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011563_2.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011563_3.jpg']",household/food-snacks-candy/gum,"Trident Minty Sweet Twist Sugar Free Gum, 1 Pk - 14 Pc",NonexNonexNone,1.29,0376164,gum,household,3.38 inchesx0.38 inchesx2.13 inches,0.952 oz
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011471.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011471.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011471_2.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/1/012546011471_3.jpg']",household/food-snacks-candy/gum,"Trident Cinnamon Sugar Free Gum, 1 Pk - 14 Pc",NonexNonexNone,1.29,0376161,gum,household,3.38 inchesx0.38 inchesx2.13 inches,0.952397 oz
